target_block,pairs,PrivSemantic,NoPrivSemantic,RandomTeacherSemantic,PrivRandomSegment,PrivRandomBit,PrivWrongTarget,PrivWrongLigand
A0A1B1JH81,1,4.647443759667285e-05,1.8996643910079155e-08,1.6637322573216022e-07,0.0002645788752357709,6.489608662343727e-06,1.8383944418678173e-05,7.36111055063629e-05
A2RI36,1,0.00025224503931818397,2.6583739050290465e-05,1.3049024797013065e-07,9.771864779616728e-05,8.888320224660988e-05,4.7209473247355103e-05,0.000648785300896957
A4TVL0,1,8.063848259457304e-05,4.55074482512543e-08,7.526365870433974e-07,0.0009598642105586722,4.640683138871423e-06,0.0004948833114085203,5.1774391434281916e-05
A5H660,3,0.0006900595441181903,1.9062273020522133e-08,2.1201333444469632e-07,0.0006298422730307082,5.9319083492086684e-05,9.921164202845148e-05,0.00027565851656275847
A5K1A2,1,0.0003270046938361103,2.998294213762974e-08,1.2492311803134595e-07,0.0001667491283365226,6.6539213854198885e-06,0.0001926238515569481,0.0005412248367984223
B2ZB02,1,0.0006172948450694959,4.494905432804985e-08,4.477678029133402e-07,0.00011200776833233532,3.645021540051739e-05,0.00021924184551820844,0.000152191356196293
B7QK46,1,0.0015866879029359697,3.192392466588556e-08,2.1185785884810696e-07,0.0003843857146826913,2.6916615911093937e-05,3.759450943692133e-05,0.0017907356822417207
C3L5T6,1,0.002037567231872969,3.562798670041574e-08,2.3449475769033257e-07,0.0003799973477950326,6.570601938862903e-06,2.3736623626916513e-05,0.0007024813598338807
C6G099,1,3.682482175582298e-05,3.6459503438088756e-08,1.0943136183651466e-07,0.00014267128239985703,4.903115701169436e-06,7.105982939593997e-05,7.008583785455272e-06
D2V4Z5,1,0.00014278879654413076,1.800820011274598e-08,1.0371259091420326e-07,5.271730579678237e-05,1.3186360985124498e-05,3.096688097115068e-05,0.0001911269225261408
D3Z7P3,1,0.00026139981259053777,7.466573130680429e-08,1.9913289997675828e-07,2.2492103195763466e-05,3.1964103426138325e-06,2.262896627229234e-05,0.00045271077661697146
F1QCV2,1,9.273525338893195e-05,4.1827576270447263e-08,1.6651370348182936e-07,4.579187546831071e-05,1.8796241402303293e-05,1.5627241965168413e-05,0.00014633443473172983
