pmid,targets,ligands,cells,density
20126400.0,59,33,1336,0.6861838726245506
11020282.0,6,64,384,1.0
19147350.0,4,68,264,0.9705882352941176
17378546.0,4,65,260,1.0
15828829.0,4,60,240,1.0
18819811.0,11,15,165,1.0
16821772.0,3,54,162,1.0
12742021.0,4,43,161,0.936046511627907
26851736.0,4,40,160,1.0
19695884.0,4,70,154,0.55
19842661.0,3,69,138,0.6666666666666666
16220987.0,6,27,133,0.8209876543209876
15857135.0,2,107,128,0.5981308411214953
12747790.0,3,44,127,0.9621212121212122
18579385.0,11,11,121,1.0
